,x [mm],y [mm],v_rms [m/s],u_rms [m/s],u [m/s],v [m/s],case_name,trailing_edge,phi [deg],alpha [deg],U [m/s],z [z/lambda],vorticity_xy,u_rate_of_change,y_plus,u_plus
330,-1.01162790698,8.34042553191,0.486528704895,0.66392030943,18.6781112959,2.04234146154,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-733.111423967,0.76250448469,290.786613278,35.2524575396
331,-1.01162790698,8.51063829787,0.457618666125,0.577083024038,18.8078992933,2.06341779996,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-648.617645255,0.633210427207,296.721033957,35.4974151691
332,-1.01162790698,8.68085106383,0.426779422871,0.507088738474,18.9156797915,2.08264104918,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-543.188916737,0.55755661534,302.655454636,35.7008365632
333,-1.01162790698,8.85106382979,0.396861704662,0.440613414569,19.0105830452,2.10131747929,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-424.474200513,0.414084058045,308.589875316,35.8799538662
334,-1.01162790698,9.02127659574,0.369963080337,0.395071365949,19.0810654381,2.11832151255,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-317.047641507,0.346296634851,314.524295995,36.0129800337
335,-1.01162790698,9.1914893617,0.345535483944,0.355763982474,19.1400095461,2.13354839138,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-230.978599926,0.245685226606,320.458716674,36.1242292191
336,-1.01162790698,9.36170212766,0.325521016043,0.331493002289,19.1818283081,2.14684486088,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-161.333429509,0.196353869863,326.393137353,36.2031565853
337,-1.01162790698,9.53191489362,0.307027374836,0.311316667782,19.2152502434,2.1600360142,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-118.109950059,0.156831293485,332.327558032,36.266236055
338,-1.01162790698,9.70212765957,0.286357922604,0.295433700181,19.2419449317,2.17097440807,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-91.4708962289,0.127096167161,338.261978711,36.3166187382
339,-1.01162790698,9.87234042553,0.265548883191,0.283340744228,19.2635783218,2.18032062637,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-70.9665267435,0.119730209883,344.19639939,36.3574488926
340,-1.01162790698,10.0425531915,0.243482537179,0.272135411088,19.283957932,2.18940818795,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-55.2003341262,0.0955413356558,350.13082007,36.3959127036
341,-1.01162790698,10.2127659574,0.228022434232,0.262897374011,19.300220287,2.19851827011,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-36.4471902589,0.0877892901526,356.065240749,36.4266057416
342,-1.01162790698,10.3829787234,0.214127113533,0.253869519203,19.3151631449,2.20772500124,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-21.5535539603,0.0650861565119,361.999661428,36.4548084038
343,-1.01162790698,10.5531914894,0.202600787721,0.247203501858,19.3262416396,2.21571339592,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-9.82875155344,0.0639954609161,367.934082107,36.4757175931
344,-1.01162790698,10.7234042553,0.190560420247,0.241179456508,19.337134484,2.22305078805,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-10.0513372532,0.0577760087964,373.868502786,36.496276392
345,-1.01162790698,10.8936170213,0.177457818716,0.23600667619,19.3469686983,2.22963939955,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-4.12699936266,0.0524851709868,379.802923465,36.514837167
346,-1.01162790698,11.0638297872,0.165112575745,0.230734728469,19.3559023444,2.23650422489,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-1.2019512649,0.0506583869503,385.737344144,36.5316982391
347,-1.01162790698,11.2340425532,0.156108577404,0.226903191771,19.3645250486,2.24448985489,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,1.76689586952,0.0497085668393,391.671764824,36.5479724494
