,x [mm],y [mm],v_rms [m/s],u_rms [m/s],u [m/s],v [m/s],case_name,trailing_edge,phi [deg],alpha [deg],U [m/s],z [z/lambda],u_rate_of_change
123,0.0,11.0526315789,0.147835974366,0.219573583474,19.2619575356,-1.70773276806,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,0.05638184289
124,0.0,11.1754385965,0.142884201246,0.216798594632,19.2688816216,-1.70384235767,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,0.0552368905847
125,0.0,11.298245614,0.138370014112,0.21438677303,19.2756650994,-1.70102966202,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,0.0522456873448
126,0.0,11.4210526316,0.134220681781,0.212154409552,19.2820812364,-1.69920019525,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,0.0541543733813
127,0.0,11.5438596491,0.130146805408,0.20995860401,19.2887317735,-1.69732123502,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,0.0532172500867
128,0.0,11.6666666667,0.125689121451,0.207956520012,19.2952672253,-1.69509153451,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,0.0513204747278
129,0.0,11.7894736842,0.120989211219,0.205783467684,19.3015697397,-1.69300009302,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,0.0514539868765
130,0.0,11.9122807018,0.116409587909,0.203701589858,19.3078886504,-1.69061880396,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,0.0531542723476
131,0.0,12.0350877193,0.112313104688,0.202098478696,19.3144163681,-1.68728653402,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,0.0547111392998
132,0.0,12.1578947368,0.108467795165,0.200698038523,19.3211352799,-1.68388699366,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,0.0520805196955
133,0.0,12.2807017544,0.105702414728,0.199563768056,19.3275311332,-1.68056722735,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,0.0483747738396
134,0.0,12.4035087719,0.103594470417,0.198454950155,19.3334718949,-1.67736540002,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,0.0506582045693
135,0.0,12.5263157895,0.101652557726,0.197202793163,19.3396930779,-1.67457090635,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,0.0503227425994
136,0.0,12.649122807,0.0999297444049,0.195755505859,19.3458730638,-1.67227274694,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,0.0480826045405
137,0.0,12.7719298246,0.098340451847,0.194586301954,19.3517779451,-1.66963485907,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,0.0495507186367
138,0.0,12.8947368421,0.0965784369665,0.193683755709,19.3578631211,-1.66683713527,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,0.0538883675165
139,0.0,13.0175438596,0.0946815510582,0.193093617611,19.3644809908,-1.66382409122,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,0.0550370554911
140,0.0,13.1403508772,0.0927923287761,0.192450551155,19.3712399274,-1.66084274006,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,0.0536925244269
141,0.0,13.2631578947,0.0910956192468,0.192136775982,19.3778337462,-1.6573447387,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,0.0537807350572
