,x [mm],y [mm],u_rms [m/s],v_rms [m/s],u [m/s],w,v [m/s],Reynold_stress_uv,case_name,trailing_edge,phi [deg],alpha [deg],U [m/s],z [z/lambda],vorticity_xy,u_rate_of_change,y_plus,u_plus
59,-0.994082840237,9.46183206107,0.357479014565,0.339795893705,19.1038308144,0.0792101401825,2.05762142563,-0.0172331604049,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-180.431634832,0.20149932528,328.518055575,36.2058789157
60,-0.994082840237,9.60305343511,0.340075398352,0.321936795037,19.132286826,0.0785661928291,2.06959852238,-0.0143427310403,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-144.632409374,0.186868797877,333.421310136,36.2598091939
61,-0.994082840237,9.74427480916,0.322651815366,0.303872026599,19.1586766944,0.0783246632595,2.08068687685,-0.0116674716895,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-114.026608435,0.139422798863,338.324564697,36.3098236852
62,-0.994082840237,9.88549618321,0.309383099778,0.288327946097,19.1783661736,0.07879466821,2.08917299819,-0.0100282584176,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-73.2807468817,0.108914222336,343.227819257,36.3471394941
63,-0.994082840237,10.0267175573,0.298916638623,0.274509681841,19.1937471897,0.0794594158024,2.09666644436,-0.00921183313815,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-51.2756856002,0.0974032168172,348.131073818,36.3762898364
64,-0.994082840237,10.1679389313,0.289172111752,0.260345498079,19.2075026058,0.0797596775862,2.10422703918,-0.00862776374582,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-28.3606093581,0.0635245658297,353.034328379,36.4023593162
65,-0.994082840237,10.3091603053,0.282277983862,0.246866785368,19.2164736323,0.0797559945594,2.11191206222,-0.00885798678021,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-14.7544126598,0.070826579059,357.93758294,36.4193613458
66,-0.994082840237,10.4503816794,0.274740526817,0.232418710035,19.2264758591,0.0798896521463,2.11964041136,-0.00892162000269,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-14.6528942454,0.0607731361339,362.840837501,36.4383177225
67,-0.994082840237,10.5916030534,0.269891723824,0.221583022294,19.2350583249,0.0773663867063,2.12857140262,-0.00936839277551,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-12.9117574176,0.0616195880222,367.744092062,36.4545833459
68,-0.994082840237,10.7328244275,0.2644877614,0.209644647699,19.2437603278,0.074912230193,2.13788740599,-0.00975469647159,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-14.9466025332,0.0561138538451,372.647346622,36.4710755178
69,-0.994082840237,10.8740458015,0.260527934475,0.200867155522,19.2516848034,0.0742794652887,2.14562290855,-0.0100120618738,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-10.198600411,0.0533284247774,377.550601183,36.4860941078
70,-0.994082840237,11.0152671756,0.256814023055,0.192667792957,19.2592159168,0.0726414672667,2.15280653905,-0.0102059325591,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-9.13845519588,0.0540640684709,382.453855744,36.5003671918
71,-0.994082840237,11.1564885496,0.253143353294,0.185089023918,19.2668509188,0.0725878170537,2.15980956672,-0.0102246118945,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-8.00220623257,0.0549996423333,387.357110305,36.514837167
72,-0.994082840237,11.2977099237,0.249359088145,0.177662364901,19.2746180439,0.0734218756015,2.16681528387,-0.010086217048,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-6.31171740709,0.0514655236763,392.260364866,36.5295575439
73,-0.994082840237,11.4389312977,0.245637519654,0.170079375105,19.2818860758,0.0741396293862,2.17425353275,-0.00997505390078,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,0.74890987789,0.0473791505062,397.163619427,36.5433320317
74,-0.994082840237,11.5801526718,0.24235682058,0.162855831662,19.2885770246,0.075959066147,2.18167258916,-0.00993371079403,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,4.84594955235,0.0462271607743,402.066873987,36.5560128224
75,-0.994082840237,11.7213740458,0.239722747085,0.156258129097,19.2951052877,0.0771216223431,2.18959922031,-0.00993488681459,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,7.68285948598,0.0462000297718,406.970128548,36.5683852889
76,-0.994082840237,11.8625954198,0.238130481983,0.15224818505,19.3016297194,0.077934933127,2.19751928736,-0.00997855679221,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,7.7408964545,0.0458052616164,411.873383109,36.5807504938
77,-0.994082840237,12.0038167939,0.236379203596,0.148440040431,19.3080984014,0.0781286052564,2.20546604802,-0.00999973169324,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,8.06528056067,0.0453823100499,416.77663767,36.5930100411
78,-0.994082840237,12.1450381679,0.234350389172,0.14517833476,19.3145073536,0.0762311406707,2.21224190563,-0.00996955006121,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,10.6225971632,0.045226814159,421.679892231,36.6051563875
79,-0.994082840237,12.286259542,0.232269168177,0.142408372682,19.3208943464,0.0732371190022,2.21827449456,-0.00991391933798,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,9.11003018316,0.0454848898325,426.583146791,36.6172611162
80,-0.994082840237,12.427480916,0.230330732094,0.139602491335,19.3273177851,0.0703837973921,2.22418612498,-0.00982457347968,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,6.03635167703,0.0482722936351,431.486401352,36.6294349176
81,-0.994082840237,12.5687022901,0.22849327712,0.136035833055,19.3341348647,0.0674831780622,2.22939118759,-0.00974063502546,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,4.56028734204,0.0482350546192,436.389655913,36.6423547535
82,-0.994082840237,12.7099236641,0.226669060287,0.13226724728,19.3409466854,0.0648233697638,2.23464726702,-0.0096825829922,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,1.99781724285,0.0505040788278,441.292910474,36.6552646226
83,-0.994082840237,12.8511450382,0.226256906475,0.128903604431,19.3480789408,0.0634100877133,2.24121274006,-0.00979952532498,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,0.103105885502,0.0509402855466,446.196165035,36.6687817846
84,-0.994082840237,12.9923664122,0.225670429474,0.12551307807,19.3552727979,0.0624081242547,2.2476722585,-0.00990675434226,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,1.33367300676,0.0478073709293,451.099419596,36.6824156951
85,-0.994082840237,13.1335877863,0.225408527525,0.123134117498,19.3620242205,0.0619207576417,2.25457299838,-0.00999769537151,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,0.954343317429,0.0466436216521,456.002674156,36.6952110968
86,-0.994082840237,13.2748091603,0.225358515787,0.120725188734,19.3686112969,0.06218916998,2.26186867488,-0.0100958561615,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,1.50838153352,0.0426765123668,460.905928717,36.7076950269
87,-0.994082840237,13.4160305344,0.225000909929,0.118385609201,19.3746381326,0.0603198452447,2.26840960856,-0.0100867471108,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,5.45415845194,0.0394806156967,465.809183278,36.7191171802
88,-0.994082840237,13.5572519084,0.224412248309,0.116123410669,19.3802136394,0.0572547531951,2.27452315234,-0.00999455381575,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,5.69822015201,0.0378685799214,470.712437839,36.7296839679
89,-0.994082840237,13.6984732824,0.224032593612,0.113917292809,19.3855614923,0.0547170305697,2.28085205206,-0.00995125457262,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,5.10038446026,0.0368601902142,475.6156924,36.7398193023
90,-0.994082840237,13.8396946565,0.223969052087,0.11180381096,19.390766939,0.0518634641464,2.28705105851,-0.0100155164515,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,5.44158703321,0.0377899583959,480.51894696,36.7496847463
